mol_id,smiles
甲醇,CO
四氯化碳,C(Cl)(Cl)(Cl)Cl
三氯甲烷,C(Cl)(Cl)Cl
二氯甲烷,C(Cl)Cl
甲醛,C=O
硝基甲烷,C(=O)(N)O
二硫化碳,C(=S)=S
四氯乙烯,C(=C(Cl)Cl)(Cl)Cl
三氯乙烯,C(=C(Cl)Cl)Cl
二氯乙烯,C=C(Cl)Cl
二氯乙烷,CC(Cl)Cl
二甲醚,CCO
乙二醇,C(CO)O
偏二甲肼,CNNC
氯丙烯,C1CC1Cl
丙酮,CC(=O)C
乙酸甲酯,CC(C=O)O
1-氯丙烷,CC(C)Cl
N-甲基乙酰胺,C(CN)C=O
甲乙醚,CCCC=O
乙酸乙酯,CC(C(=O)C)O
正丁醇,CCCCO
一正丁胺,CC(C)(C)N
间戊二烯,CC(=C)C=C
戊二醛,C(CC=O)CC=O
环戊烷,CCCC=C
2-甲基丁醛,CCC(C)C=O
戊烷,CCC(C)C
氯苯,c1ccc(cc1)Cl
苯,c1=cc=cc=c1
环己烷,CC1CCCC1
正己醛,CC(C)CCC=O
23一二甲基丁烷,CC(C)C(C)C
己烷,CCCCCC
2-甲基戊烷,CCCC(C)C
二异丙醚,CC(C)OC(C)C
三乙胺,CCN(CC)CC
甲苯,Cc1ccccc1
苯甲醚,c1ccc(cc1)C=O
正庚烷,CCCCCCC
正癸烷,CCCCCCCCCC
乙醇,CCO
氯仿,C(Cl)(Cl)Cl
硝基甲烷,C[N+](=O)[O-]
112二氯乙烷,C(CCl)Cl
乙酸,CC(=O)O
异丙醇,CC(=O)C
甲酸乙酯,CCOC=O
2-丁酮,CCC(=O)C
异丙醚,CC(C)OC(C)C
焦化二甲苯,CC1=CC=C(C=C1)C
丙醇,CCCO
丙烯酸,C=CC(=O)O
丙胺,CCCN
"1,4-二氧六环",C1COCCO1
甲酸丙酯,CCCOC=O
异丁醇,CC(C)CO
乙酸丙酯,CCCOC(=O)C
异戊醇,CC(C)CCO
乙酸乙酯,CCOC(=O)C
叔戊醇,CCC(C)O
叔丁醇,CC(C)(C)O
丁胺,CCNCC
丙烯酸乙酯,CCOC(=O)C=C
2-戊酮,CCCC(=O)C
3-戊酮,CCC(=O)CC
苯胺,c1ccc(cc1)N
三溴甲烷,C(Br)(Br)Br
甲乙醚,CCCC=O
溴乙烷,CCBr
甲基环己烷,CC1CCCCC1
3-甲基丁醇,CC(C)CCO
2-甲基-1-丙醇,CC(C)CO
乙醚,CCOCC
丙酸甲酯,CCC(=O)OC
四乙基硅烷,CC[Si](CC)(CC)CC
3-甲基庚烷,CCCCC(C)CC
